     STN NO    NYEAR  INDEX     LAT       LON    ELEVATION DIST_COAST  RF_SPL_W RF_SPL_S   WDAY_W     WDAY_S   RF_W       RF_S    MAX_W_S_S RF_ANNUAL
       48       92    49013   -34.580   142.730    61.000   328.596    16.093    25.868    24.000     8.522    90.633    63.866     2.641   311.203
       49      124    49019   -32.900   144.300    85.000   551.297    15.547    26.751    16.798     9.435    73.591    83.752     2.613   304.424
       50       73    49023   -34.450   142.910    64.000   350.300    16.649    27.438    21.260     8.356    82.693    75.089     2.301   320.459
       51       83    49029   -33.350   144.930   104.000   498.507    19.680    30.068    13.904     7.422    81.424    73.711     2.337   310.173
       52       41    49035   -33.800   144.700    92.000   449.036    19.495    29.290    15.732     7.585    81.876    68.429     2.463   292.490
       53       63    49039   -33.600   144.500    90.000   472.309    16.848    28.736    14.317     6.460    77.544    67.056     2.206   282.001
       54       67    49045   -34.560   143.080    63.000   399.822    13.991    26.428    14.030     5.866    74.288    65.252     2.015   292.657
       55       33    49046   -34.550   142.500    50.000   312.873    16.852    26.458    25.333     9.879    82.124    63.676     3.000   286.894
       56       85    49047   -33.690   143.800    74.000   471.828    16.009    28.688    12.906     7.153    69.077    72.693     2.318   283.604
       57       40    49054   -33.400   145.100   119.000   493.207    17.993    30.967    15.400     7.775    77.765    71.643     2.550   312.603
       58       54    49060   -32.500   146.400   309.000   469.748    24.983    35.359    16.130     9.722   107.261   112.408     2.778   415.811
       59       51    49086   -32.380   146.030   304.000   505.933    23.235    28.759    13.745     9.255    89.220    90.628     2.686   319.848
       60       43    49098   -32.330   145.920   243.800   517.613    23.649    32.912    15.000     9.140    93.633    93.851     2.581   358.505
       61       38    49105   -32.520   146.280   298.000   477.765    23.512    37.811    17.395    11.342    96.394   116.711     2.947   403.153
       62       49    49111   -33.950   143.050    79.000   393.391    12.124    28.227    16.612     7.755    70.563    73.847     2.143   285.754
       63       74    49118   -33.710   144.770    91.000   458.779    18.968    27.192    15.878     8.149    77.238    78.718     2.338   317.621
       64       25    49130   -33.380   145.960   135.000   503.921    22.108    28.300    18.480     9.760    97.096    92.600     2.440   378.758
       65       68    50000   -32.300   147.700   231.600   353.985    32.596    42.265    19.676    12.676   120.301   134.566     3.309   483.550
       66       67    50002   -32.920   148.090   274.000   298.297    29.543    45.542    24.910    17.284   130.060   159.667     3.701   580.018
       67      117    50008   -32.780   147.860   275.000   324.350    29.108    41.295    19.385    13.000   126.780   146.192     3.094   522.478
       68       57    50009   -32.600   148.100   253.000   306.736    30.611    39.453    15.789    10.912   127.021   140.007     2.719   503.132
       69      124    50011   -32.130   147.410   198.000   386.606    26.736    45.756    14.032    10.653   103.763   144.917     2.863   469.310
       70      126    50016   -32.970   148.060   290.000   298.645    27.006    37.376    19.611    13.071   129.208   144.719     2.976   526.487
       71      118    50020   -33.290   147.540   210.000   332.347    24.688    43.277    14.585     8.958   108.157   116.545     2.669   435.491
       72       38    50021   -32.200   147.900   186.000   341.479    26.479    46.325    20.368    14.184   104.818   148.210     3.263   500.021
       73       32    50027   -33.200   147.400   364.000   348.720    22.281    35.447    21.938    11.906   105.238   114.834     3.000   426.147
       74      118    50031   -32.720   148.190   285.000   294.401    26.843    41.903    21.017    14.619   131.699   160.721     3.153   565.035
       75       70    50033   -32.330   147.400   244.000   378.879    28.854    44.309    21.300    15.286   114.974   152.145     3.743   492.878
       76       37    50041   -33.380   146.900   260.000   379.236    27.441    38.376    20.730    10.757   120.473   116.992     2.676   430.344
       77       54    50046   -32.500   146.800   573.000   439.482    27.980    40.870    13.667     9.778    97.715   109.572     2.722   381.663
       78       54    50052   -33.070   147.230   195.000   369.888    19.170    38.955    24.685    15.148   102.300   131.592     3.500   461.001
       79       48    50054   -33.100   146.850   180.000   398.220    22.442    39.225    15.104     8.979   105.429   114.790     2.500   429.834
       80       29    50056   -32.120   147.620   203.000   369.115    21.431    49.169    13.448    10.586    90.145   136.022     3.034   447.099
       81       36    50064   -33.700   147.400   281.000   335.955    27.225    33.692    30.083    13.278   127.119   113.428     3.083   454.917
       82       34    50084   -33.780   146.950   316.000   362.508    19.829    37.212    26.147    12.471   109.659   107.568     3.412   412.689
       83       31    50092   -32.520   147.780   198.000   338.012    38.010    43.303    19.258    11.806   138.648   144.858     2.871   532.097
       84       29    50093   -32.070   147.450   193.000   385.984    28.648    44.707    13.552    10.207   112.638   130.024     2.655   465.398
       85       26    50096   -32.300   147.480   242.000   373.106    26.877    41.531    18.038    11.269   115.592   117.562     3.077   447.204
       86       27    50097   -33.720   147.170   317.000   350.625    24.091    39.120    24.407    11.407   124.297   102.076     3.074   430.418
       87       30    50103   -33.940   147.190   262.000   334.094    21.783    29.410    23.533    11.700   113.578    95.017     3.000   410.966
       88       40    50105   -32.900   147.780   252.000   325.792    21.885    43.930    21.300    14.925   110.613   143.680     3.550   502.252
       89       40    50108   -32.570   147.220   257.000   388.590    24.115    49.287    18.100    13.425   104.847   152.463     3.625   491.188
       90       48    50110   -32.640   148.060   242.000   308.788    23.127    52.035    19.938    15.021   114.252   152.896     3.542   532.550
       91       37    50115   -32.860   148.260   320.000   286.784    26.596    45.227    20.730    13.486   128.459   155.016     3.514   556.826
       92       26    50116   -32.930   148.300   375.000   280.009    24.949    46.196    20.154    14.385   135.143   168.294     3.885   596.732
       93       37    50128   -32.650   146.930   280.000   419.695    19.373    46.524    17.081     9.730   103.781   122.684     2.784   459.570
       94       29    50140   -32.090   146.610   262.000   457.938    21.893    43.769    14.862    12.000    89.414   130.003     3.552   411.183
       95       33    51000   -30.700   147.420   140.000   473.701    26.697    44.042    11.485    11.727    83.730   146.294     2.939   434.875
       96       96    51002   -31.780   147.600   192.000   388.563    26.425    39.475    12.885    10.604    99.118   136.508     2.885   444.218
       97      109    51008   -32.460   148.150   244.000   308.074    28.342    38.289    16.312    11.835   117.873   142.506     2.936   501.980
       98       39    51012   -31.900   148.100   192.000   341.244    37.900    33.731    15.974    11.282   109.733   121.262     3.205   433.790
       99       99    51014   -31.130   148.040   177.000   397.776    29.462    37.878    12.141    10.879    97.484   137.328     3.091   434.259
      100       56    51016   -31.440   147.280   172.000   434.235    20.837    41.154    13.946    13.554    89.329   143.827     3.607   466.763
      101       74    51019   -30.300   147.200   122.000   519.452    26.809    41.249    13.054    11.230    88.761   121.654     3.176   394.990
      102      130    51025   -31.460   147.880   186.000   386.163    27.310    46.305    13.769    12.015   103.527   146.594     3.192   476.682
      103      103    51026   -31.560   146.720   215.000   473.238    24.816    41.936    13.194    12.000    87.866   139.271     3.010   414.093
      104       25    51027   -31.100   147.300   159.000   454.293    28.388    37.168    10.200     9.320    86.391   106.452     2.920   371.774
      105      127    51034   -31.500   147.690   192.000   398.198    23.347    43.125    13.063    11.189    94.952   137.026     3.079   441.955
      106       32    51064   -32.100   148.400   277.000   305.453    38.844    29.934    16.156    11.625   131.169   127.034     2.875   484.537
      107       64    51066   -31.950   148.620   302.000   297.454    26.889    50.620    16.547    14.531   124.712   171.773     3.609   570.938
      108       28    51075   -31.720   148.320   238.000   335.461    34.786    32.971    12.107     7.821   113.911   113.710     2.214   413.414
      109       37    51077   -30.900   147.900   219.000   424.956    29.176    36.135    15.946    13.649    99.835   143.830     3.135   447.476
      110       25    51083   -31.380   148.830   309.000   315.558    48.804    43.952    18.640    13.600   154.728   160.404     3.200   575.288
      111       25    51090   -31.300   148.000   245.000   388.238    31.136    31.016    15.840    12.160   106.028   118.132     2.760   418.564
      112       42    51118   -31.780   147.120   180.000   428.290    23.734    52.481    15.548    13.119    89.037   158.386     3.452   469.845
      113       42    51121   -30.770   148.740   198.000   366.718    26.088    41.445    10.667    12.571   101.587   168.702     3.048   515.255
      114       41    51122   -31.560   148.600   260.000   326.274    27.000    54.139    15.902    13.951   117.275   180.079     3.683   574.611
      115       37    51133   -31.230   148.890   400.000   321.559    32.222    66.604    14.378    14.838   133.689   198.474     3.865   629.216
      116       25    51139   -31.700   148.680    28.500   310.298    32.132    37.628    23.880    15.560   151.918   174.276     3.360   633.990
      117       73    52003   -29.960   148.470   140.000   447.345    26.596    56.690    13.521    15.370    89.879   177.478     3.658   491.552
      118       36    52009   -29.800   149.100   170.000   385.591    29.817    56.375    12.111    12.583   106.808   162.282     3.694   490.549
      119       62    52013   -29.580   148.680   145.000   430.820    28.469    62.013    14.855    16.565    91.563   181.711     4.226   496.362
      120      120    52020   -28.980   148.990   160.000   424.478    29.413    55.279    12.883    16.300    93.681   186.987     3.942   508.858
      121       48    52025   -29.700   148.500   152.400   467.653    31.658    44.590     8.833    10.604   100.381   155.038     2.854   465.366
      122       91    52028   -29.750   148.940   155.000   401.900    30.181    50.753    12.440    13.582   102.214   181.450     3.407   514.706
      123       49    52030   -29.880   148.800   146.900   434.095    27.165    47.533    11.878    14.327    88.288   172.875     3.837   487.447
      124       63    52031   -29.120   149.020   152.000   415.656    25.114    58.457     8.222    11.143    87.577   181.040     2.921   480.960
      125       31    52037   -29.700   149.000   160.000   397.520    26.881    51.961    12.968    14.032   100.506   156.110     3.903   463.135
      126       32    52043   -28.920   149.230   173.000   398.865    27.609    59.531    12.219    15.125   106.037   204.859     3.750   567.955
      127       32    52049   -29.550   149.270   163.000   376.695    29.537    43.228    12.781    15.250   110.825   177.438     3.344   514.725
      128       40    52067   -29.810   148.910   155.000   426.902    27.760    64.034    13.850    17.625    97.900   208.518     4.100   554.358
      129       31    52074   -30.350   149.020   165.000   380.095    28.612    50.506    14.516    16.677   114.276   185.139     3.968   568.660
      130       95    53003   -29.920   149.790   229.000   317.621    32.929    58.273    14.726    17.347   123.780   221.864     3.726   617.320
      131       46    53007   -30.980   148.870   274.300   341.547    38.261    52.948    15.674    13.891   130.487   176.020     3.609   567.276
      132       26    53013   -29.100   149.650   183.000   360.625    25.523    45.969     9.615    12.000    99.654   167.854     3.077   490.677
      133       94    53018   -28.990   150.020   222.000   321.549    29.589    58.845    14.638    18.979   110.902   213.790     4.032   586.227
      134       83    53026   -30.260   149.680   209.000   340.908    29.888    63.070    14.012    16.253   115.745   213.305     3.880   602.996
      135       86    53027   -29.500   149.900   207.300   320.663    25.284    55.200    14.860    17.244   116.645   191.477     3.837   576.317
      136      118    53034   -30.120   149.320   168.000   374.986    32.834    61.231    15.178    16.602   112.106   192.308     4.034   561.307
      137       42    53036   -31.070   149.580   457.000   284.585    30.719    68.698    23.095    22.952   130.864   245.174     4.881   688.967
      138       37    53037   -29.600   150.100   272.000   298.630    33.295    57.286    11.730    12.514   124.978   188.043     3.486   561.141
      139       79    53040   -29.050   149.940   205.000   328.356    32.186    57.044    11.430    15.051   104.585   207.349     3.418   567.404
      140       42    53047   -28.930   150.390   265.000   287.099    33.031    52.111    12.690    18.071   110.185   223.483     4.000   634.661
      141       33    53048   -29.480   149.840   212.100   326.889    32.721    52.894    16.939    21.727   105.255   213.442     4.333   581.003
      142       36    53057   -29.500   150.100   251.000   302.601    28.889    49.925    12.722    13.444   124.628   181.972     3.222   554.472
      143       25    53065   -29.780   149.770   233.000   323.144    29.372    47.152    13.240    14.240   124.207   188.620     3.240   584.191
      144       42    53070   -29.620   149.380   173.000   364.263    33.890    63.739     9.714    12.690    97.099   192.991     3.119   534.466
      145       42    53073   -30.760   149.000   250.000   347.614    26.788    51.833    16.619    19.167   118.559   210.316     4.167   605.585
      146       42    53075   -30.880   148.810   236.000   353.378    29.698    48.138    12.976    14.262   109.042   177.326     3.381   540.206
      147       42    53076   -28.950   150.260   240.000   299.171    30.721    51.236    13.238    17.571    99.960   222.924     3.619   614.710
      148       38    53077   -28.740   149.820   197.000   351.551    29.697    56.824     8.895    13.263    96.857   200.382     3.053   559.172
      149       35    53082   -30.800   149.550   320.000   309.313    35.671    76.314    12.229    15.657   132.963   235.263     3.857   680.640
      150       42    53085   -28.970   149.670   184.000   355.618    28.855    53.002    12.595    16.952    99.164   209.231     3.381   566.635
      151       67    53091   -29.330   149.600   178.000   354.649    30.424    57.645    10.896    13.433   104.993   180.863     4.060   512.315
      152       46    53092   -31.100   149.000   301.000   323.384    43.965    41.615    17.543    13.500   155.698   174.113     3.087   597.604
