STN NO,NYEAR,INDEX,STATION NAME,LAT,LON,ELEVATION,DIST_COAST,av_an_tmax,WET_SPL,DRY_APL,D_MAX_RF,AMT_WET_SPL,AMT_MON,WDAY_MON,AMT_AU,AMT_WIN,AMT_SP,AMT_SU,WDAY_AU,WDAY_WIN,WDAY_SP,WDAY_SU,AN_WET_DYS,AN_RAINFALL,AMT/WDAY
278,56,61104,ELLERSTON,-31.8,151.3,563.9,111.86,21.94,5.7,26.89,52.19,58.62,55.33,6.59,136.16,145.95,162.25,219.29,17.04,21.89,20.36,19.8,79.09,663.65,8.55
279,29,61114,RINGWOOD,-32.167,150.167,387,162.09,23.15,4.48,32.83,50.53,62.85,45.04,5.06,123.96,131.98,121.99,155.98,12.41,17.66,16.38,14.03,60.48,533.91,8.9
280,42,61118,WARKWORTH,-32.3,151.017,344,92.51,23.96,5.91,29.43,61.05,65.66,51.08,6.16,148.46,125.35,143.45,196.65,18.5,18.76,18.43,18.17,73.86,613.91,8.31
281,25,61129,HALTON,-32.317,151.517,76,53.99,22.51,9,25.76,99.16,180.04,95.03,8.44,326.99,173.16,232.86,415.72,25.76,21.32,25.88,28.8,101.76,1148.73,11.61
282,49,61152,CONGEWAI,-33,151.291,165,22.73,22.51,7.29,27.55,88.78,124.47,79.99,7.55,272.27,190.95,196.96,303.8,24,19.67,21.98,25.14,90.79,963.98,10.65
283,27,61171,JERRYS,-32.517,150.967,90,78.73,24.27,5.33,31.41,56.1,74.92,52.87,5.79,148.4,101.11,157.79,231.98,16.15,14.48,18.74,20.48,69.85,639.28,9.19
284,36,61188,BROKE,-32.709,151.062,95,59.08,24.05,5.47,31.78,70.51,77.64,56.98,5.99,168.71,105.37,161.71,249.07,18.08,15.03,18.78,20.08,71.97,684.86,9.63
285,48,61191,BULGA,-32.613,150.976,80,72.38,24.60,6.71,29.27,60.78,74.86,54.76,6.58,151.76,110.23,153.52,242.58,18.29,16.65,21.13,22.83,78.9,658.09,8.55
286,49,61205,YALLAMBIE,-33.03,151.14,135,35.37,22.68,6.9,30.82,74.16,101.82,70.26,7.08,230.19,160.09,182.62,272.47,22.43,17.63,21.14,23.94,85.14,845.37,9.94
287,45,61215,RYLSTONE,-32.872,150.299,747,109.9,19.36,7.04,24.8,61.08,79.62,67.35,8.08,193.51,169.28,198.9,246.94,24.62,22.58,24.07,25.76,97.03,808.63,8.32
288,29,61223,MARYVILLE,-32.913,151.75,8,1.1,22.77,9.48,19.38,91.78,128.96,92.72,10.59,338.66,234.28,220.4,313.06,35.31,29.83,30.79,30.72,126.65,1106.4,8.74
289,31,61227,DUNGOG,-32.4,151.75,62,32.94,23.24,9.16,20.35,91.12,125.99,88.63,9.66,285.87,228.86,228.16,326.67,31.87,28.74,26.35,29.19,116.15,1069.56,9.25
290,42,61242,CESSNOCK,-32.809,151.349,62,30.37,24.23,7.88,24.95,70.42,92.67,63.48,8.24,199.46,127.73,172.59,260.01,25.59,21.17,24.83,27.21,98.8,759.79,7.81
