STN NO,NYEAR,INDEX,STATION NAME,LAT,LON,ELEVATION,DIST_COAST,av_an_tmax,WET_SPL,DRY_APL,D_MAX_RF,AMT_WET_SPL,AMT_MON,WDAY_MON,AMT_AU,AMT_WIN,AMT_SP,AMT_SU,WDAY_AU,WDAY_WIN,WDAY_SP,WDAY_SU,AN_WET_DYS,AN_RAINFALL,AMT/WDAY
427,51,76010,CRAMENTON,-34.8,142.467,55,295.26,23.60,4.65,38.49,33.83,30.64,26.37,5.27,74.1,86.55,87.08,68.49,14.14,23.18,17.02,8.82,63.16,316.22,4.97
428,92,76013,GALAH,-35.083,142.182,52,259.2,23.33,5.08,43.17,36.1,22.79,26.74,5.27,71.12,91.69,91.49,66.46,13.19,24.6,17.04,8.48,63.31,320.76,5.15
429,100,76015,IRYMPLE,-34.226,142.151,45,310.73,23.92,4.37,43.12,35.35,26.32,22.72,4.72,60.49,73.77,74.66,63.35,11.78,20.82,15.19,8.75,56.54,272.27,4.77
430,70,76026,MERBEIN,-34.213,142.04,56.4,302.76,23.80,5.51,35.37,32.92,23.29,23.59,6.04,66.73,80.18,76.74,59.57,15.6,28.13,18.51,10.21,72.45,283.22,3.94
431,62,76031,MILDURA,-34.236,142.087,50,304.21,23.83,4.89,37.56,34.93,23.94,23.62,5.61,61.64,75.92,81.42,64.62,13.71,24.53,18.73,10.4,67.37,283.6,4.24
432,60,76032,MILDURA,-34.216,142.167,49,312.51,23.90,4.8,36.7,35.59,23.14,24.67,5.73,65.47,79.46,82.35,68.76,14.38,24.97,18.63,10.78,68.76,296.04,4.31
433,37,76034,MOONDAH,-35,143,56,362.91,23.41,4.73,38.57,34,30.18,25.92,5.2,72.39,87.89,81.75,68.9,13.92,23.41,16.57,8.54,62.44,310.93,4.95
434,78,76035,MORKALLA,-34.294,141.173,57,238.67,23.49,4.44,44.68,31.16,23.63,22.5,4.7,57.95,78.83,80.19,53.83,11.78,21.8,15.17,7.65,56.4,270.8,4.78
435,68,76036,MULCRA,-35.167,141.1,88,169.39,22.96,6.24,32.47,30.62,25.04,26.44,7.25,70.14,95.76,91.26,60.03,18.75,33.88,23.18,11.16,86.97,317.19,3.66
436,72,76037,MURRAY,-34.193,141.6,30,273.29,24.02,4.72,42.06,32.23,29.1,23.38,4.88,60.08,80.96,80.29,59.15,12.4,22.01,15.53,8.57,58.51,280.48,4.76
437,79,76043,NULKWYNE,-34.927,142.176,42,265.24,23.58,4.54,38.28,33.98,22.55,25.42,5.22,68.3,85.32,87.72,63.41,13.54,23.18,17.09,8.9,62.71,304.75,4.9
438,96,76047,OUYEN,-35.069,142.316,50.3,270.42,23.46,5.42,39.32,36.33,25.15,27.47,5.81,73.27,93.6,93.76,68.47,14.22,26.5,19.35,9.55,69.62,329.1,4.78
439,108,76050,PIRA,-35.256,143.368,89,318.51,23.17,4.43,42.63,38.23,30.72,27.46,4.45,75.54,93.83,92.38,67.37,10.96,20.17,14.42,7.82,53.37,329.12,6.19
440,40,76058,TUTYE,-35.2,141.5,51,196.81,23.13,6.43,39.55,32.95,28.74,25.42,6.3,66.86,91.68,84.39,62.47,15.63,30.67,20.1,9.23,75.63,305.4,4.12
441,70,76064,WALPEUP,-35.12,142.004,105,243.25,23.07,6.77,31.71,36.79,24.48,27.87,7.36,74.9,97.62,92.49,68.71,18.39,34.74,23.5,11.7,88.33,333.72,3.78
442,25,76070,WOOD,-35.1,143.35,69,335.02,23.09,4.68,44.32,36.23,28.38,27.33,4.95,75.07,91.58,95.22,64.89,12.6,22.12,16.92,7.72,59.36,326.76,5.56
443,60,76077,MILDURA,-34.183,142.2,53.9,317.27,24.00,4.37,43.25,33.54,25.69,22.45,4.84,61.08,78.85,71.13,58.47,11.9,22.13,15.47,8.5,58,269.53,4.63
444,36,76091,NANDALY,-35.4,142.7,68,328.87,23.00,3.83,52.94,35.71,27.95,24.22,4.04,71.26,89.24,79.77,49.84,9.75,19.36,13.78,5.58,48.47,290.11,6.13
445,41,76106,MURRAYVILLE,-35.248,141.081,100,162.37,23.03,6.02,33.54,32.44,28.8,28.26,6.64,73.7,110.74,95.12,58.98,16.88,32.1,20.61,9.98,79.57,338.54,4.23
446,40,76107,TUTYE,-35.285,141.495,66,191.57,23.27,5.8,33.33,31.3,23.17,27.08,6.77,69.66,97.87,94.07,62.78,16.67,32.33,21.2,11.07,81.27,324.38,3.95
447,40,76108,LINGA,-35.168,141.692,70,213.6,23.49,5.5,35.7,37,24.03,28.31,6.36,73.87,103.22,94.7,67.08,15.2,30.02,20.67,10.5,76.39,338.87,4.4
448,30,76134,LAKE,-34.275,141.588,40,265.96,24.04,4.3,42.23,27.49,20.49,21.11,4.88,46.49,81.38,75.26,50.05,11,22.73,15.97,8.7,58.4,253.18,4.29
449,90,77001,QUAMBATOOK,-35.981,143.648,111,241.09,22.34,5.02,37.09,36.48,30.06,31.95,5.91,87.48,112.3,105.75,77.57,14.72,27.18,19.14,9.84,70.88,383.1,5.42
450,30,77012,BUDGERUM,-35.783,143.667,91,254.01,22.21,3.67,41.17,36.3,28.31,28.3,4.07,84.11,92.42,95.66,67.35,11.2,17.17,13.17,7.4,48.94,339.54,7.05
451,91,77016,BOORT,-35.974,143.61,132,242.78,22.19,4.86,38.89,35.97,29.8,31.12,5.42,86.56,110.73,100.92,74.49,14.21,24.92,16.97,8.85,64.95,372.7,5.72
452,29,77017,GREDGWIN,-36,143.55,102,241.69,21.96,5.14,36.62,34.82,26.23,33.54,5.91,100.62,112.45,112.94,76.92,16,26.03,19.62,9.35,71,402.93,5.67
453,79,77019,KENMARE,-35.917,142.167,85,262.18,22.40,4.71,38.94,39.21,27.78,29.8,5.32,78.88,107.45,101.25,70.03,13.51,24.3,17.73,8.28,63.82,357.61,5.69
454,103,77027,LEAGHUR,-35.965,143.781,90,231.38,22.48,4.41,41.9,37.12,30.91,29.9,4.7,83.04,105.51,97.69,72.15,12.08,21.1,15.15,8.09,56.42,358.39,6.34
455,101,77028,BIRCHIP,-35.796,142.877,91,287.19,22.53,4.77,41.26,39.85,28.88,29.89,5.39,82.95,107.17,99.9,68.69,13.29,24.81,17.6,8.94,64.64,358.71,5.55
456,41,77029,MEATIAN,-35.7,143.3,88,280.61,22.34,5.22,42.88,36.82,31.06,29.63,5.35,85.47,102.69,100.15,66.74,13.63,24.58,17.19,8.68,64.08,355.05,5.68
457,112,77042,SWAN,-35.341,143.553,70,303.33,23.10,5.05,38.34,35.69,27.43,29.19,5.82,83.35,103.39,94.29,69.93,14.37,26.55,19.14,9.76,69.82,350.96,5
458,27,77045,TRESCO,-35.5,143.7,73,282.05,22.92,5.52,41.74,35.51,27.39,26.02,5.64,69.79,95.76,81.88,64.87,14,26.82,17.3,9.59,67.71,312.3,4.59
459,111,77051,RAINBOW,-35.942,141.935,83,202.2,22.79,5.44,41.26,35.17,24.86,28.88,5.75,75.93,109.57,95.27,65.67,14.31,27.61,18.42,8.63,68.97,346.44,5.07
460,60,77053,YANGA,-35.817,143.033,90,287.37,22.37,4.27,44.6,37.41,27.46,28.27,4.66,86.11,99.89,93.14,60.1,12.53,21.42,14.9,7.08,55.93,339.24,6.28
461,27,77057,HOPEVALE,-35.9,142.3,92,265.42,22.23,4.78,50.04,39.04,35.03,28.96,4.88,78.99,116.74,92.5,58.51,11.89,23.63,17.26,5.63,58.41,346.74,5.95
462,41,77060,FAIRLEY,-35.7,143.9,76.2,255.09,22.59,4.51,45.17,35.21,30.25,26.7,4.67,74.64,99.8,83.46,62.57,11.29,21.81,14.85,8.07,56.02,320.47,5.85
463,27,77061,GOSHEN,-35.5,143.5,92,288.86,22.67,4.85,39.56,34.56,30.62,28.39,4.98,81.43,108.68,88.34,66.05,12.41,24.04,16.11,7.37,59.93,344.5,5.74
464,34,77063,JERUK,-36.017,143.383,104,245.11,22.25,5,42.18,38,32.38,30.07,5.46,90.59,115.4,96.3,59.82,13.35,26.09,18.53,7.53,65.5,362.11,5.57
465,29,77065,LALBERT,-35.7,143.5,88,274.78,22.56,4.28,48.48,31.7,28.61,25.56,4.43,71.01,100.9,80.31,53.12,10.93,20.38,15.24,6.55,53.1,305.34,5.82
466,58,77069,TOWANINNIE,-35.9,143.4,99,256.65,22.24,5.12,40.93,37.43,24.31,27.72,5.31,78.01,103.31,90.9,61.79,13.05,25.74,16.72,8.26,63.77,334.01,5.2
467,40,77082,BEULAH,-35.934,142.281,95,261.47,22.68,5.35,36.1,32.58,21.31,29.01,6.25,80.76,102.69,100.35,63.32,15.2,29.63,20.23,9.82,74.88,347.12,4.59
468,54,77085,DUMOSA,-35.933,143.217,97,259.48,22.13,4.94,43.74,35.86,26.53,27.24,4.9,77.07,103.7,87.28,60.15,12.11,24.13,15.28,7.46,58.98,328.2,5.65
469,32,77087,HOPETOUN,-35.725,142.366,76.2,285.46,22.82,5.13,37.25,37.76,26.92,29.02,6.14,87.28,100.05,99.42,61.72,15.72,28.56,20.28,9.16,73.72,348.47,4.64
470,92,78003,BANGERANG,-36.105,142.608,99.1,250.23,22.09,5.24,37.11,36.22,23.18,29.48,6.13,82.57,106.77,100.27,64.1,15.38,28.61,20.42,9.12,73.53,353.71,4.82
471,52,78007,COPE,-36.45,143.1,121,222.32,21.40,4.69,39,35.46,34.93,31.93,4.99,85.55,128.03,103.95,66.29,12.1,23.23,16.92,7.69,59.94,383.82,6.49
472,74,78008,DIAPUR,-36.3,141.45,99,148.44,21.37,7.47,30.46,37.17,35.11,35.99,7.94,94.75,147.15,118.75,71.68,20.32,37.6,25.58,11.77,95.27,432.33,4.61
473,81,78011,DONALD,-36.4,143,114,223.58,21.72,5.95,32.67,39.96,29.95,34.14,7.05,96.92,128.13,111.81,73.09,17.49,32.7,23.27,11.12,84.58,409.95,4.9
474,121,78014,GLENLEE,-36.258,141.859,123,213.26,22.01,7.07,31.85,37.67,27.39,32.77,7.8,86.7,125.47,108.59,72.54,19.25,37.26,25.32,11.78,93.61,393.3,4.2
475,56,78019,KATYIL,-36.3,142.1,129.8,219.28,21.71,6.25,34.43,40.62,27.73,34,7.18,91,131.05,111.92,74.67,17.54,34.48,23.57,10.61,86.2,408.64,4.8
476,39,78021,LAKE,-36.1,141.95,97.5,239.88,22.23,5.56,40.03,40.06,28.8,29.62,6.07,80.06,112.45,96.53,67.69,15.05,29,19.82,9,72.87,356.73,4.94
477,73,78035,SHEEP,-36.35,142.5,137.2,222.46,21.64,4.52,44.74,37.01,31.35,30.53,4.62,83.03,117.74,99.42,66.29,11.36,22.37,15.11,6.64,55.48,366.48,6.74
478,73,78036,WARMUR,-36.15,142.8,112.8,247.26,21.90,4.64,40.99,33.17,27.89,28.63,5.04,80.69,106.32,94.66,62.11,12.94,23.04,16.67,7.89,60.54,343.78,5.69
479,120,78041,WOOROONOOK,-36.248,143.179,134,230.06,22.10,4.02,41.15,36.74,28.63,30.92,4.57,85.6,115.82,102.56,66.97,11.47,20.77,15.32,7.2,54.76,370.95,6.77
480,36,78051,BRIM,-36.083,142.417,99,247.12,22.06,5.06,37.67,40.03,31.89,30.43,5.22,90.74,113.14,101.07,60.29,13.39,24.47,16.78,7.92,62.56,365.24,6.51
481,30,78054,CARRON,-36.25,142.75,113,235.63,21.64,5.17,40.27,40.27,25.72,30.58,5.32,91.56,119.19,96.55,59.87,12.67,25.07,18.57,7.47,63.78,367.17,5.8
482,25,78056,DONALD,-36.383,142.983,113,225.02,21.49,4.64,44.04,44.1,32.86,32.73,4.71,100.66,119.57,106.08,66.12,12.56,21.96,14.8,7.12,56.44,392.43,6.97
483,26,78061,MOUNT,-36.3,143.15,172,226.25,21.32,4.77,39.73,40.83,30.2,32.18,4.76,103.31,126.63,97.92,58.95,12.31,22.11,15.81,7,57.23,386.81,6.81
484,43,78070,WINIAM,-36.4,141.7,141,193.62,21.19,5.84,36.44,36.35,33.89,33.6,6.35,89.55,135.67,112.54,65.78,16.02,29.86,20.7,9.6,76.18,403.54,5.34
485,42,78072,DONALD,-36.37,142.971,114,226.23,22.03,6.43,30.17,36.25,24.49,31.62,7.27,84.53,114.28,104.41,75.52,17.74,33.31,23.5,12.62,87.17,378.74,4.32
486,39,78077,WARRACKNABEAL,-36.261,142.405,113.4,227.53,22.24,7.23,28.92,32.27,31.81,32.72,8.01,86.57,120.56,113.14,71.51,19.56,37.21,26.1,13.18,96.05,391.78,4.04
487,78,79004,BELLELLEN,-37.15,142.65,232,135.58,19.77,7.89,33.76,47.58,47.33,49.03,7.79,133.29,205.57,155.25,94.35,19.82,36.67,25.41,11.61,93.51,588.46,6.33
488,80,79007,CHARAM,-36.983,141.467,146,125.62,19.98,10.07,22.91,38.98,51.44,48.86,11.22,131.4,206.9,164.12,83.56,29.95,49.99,37.54,17.17,134.65,585.98,4.38
489,105,79008,CLEAR,-36.939,141.871,155,146.54,20.52,7.3,31.5,38.93,39.95,41.76,8,108.29,171.19,141.22,79.88,19.95,36.77,26.99,12.16,95.87,500.58,5.28
490,43,79012,ELDERSLIE,-37.1,141,105,88.31,20.09,8.28,32.19,35.44,52.71,49.66,8.94,135.66,216.57,156.1,87.72,23.88,39.65,30.33,13.4,107.26,596.05,5.59
491,98,79018,GOROKE,-36.827,141.468,162,142.21,20.46,7.26,34.1,37.33,43.55,42.75,7.36,113.08,186.29,139.32,74.42,18.4,34.59,24.57,10.83,88.39,513.11,5.89
492,81,79020,HALLS,-37.2,142.5,821,128.33,14.95,9.32,25.63,55.42,82.2,76.87,9.88,193.15,351.69,253.38,124.73,25.47,43.97,32.4,16.7,118.54,922.95,8.06
493,44,79024,JALLUKAR,-37.2,142.7,243.8,131.01,19.49,7.34,34.93,42.57,48.39,46.02,6.89,117.37,199.3,149.62,87.22,16.39,32.27,22.86,11.27,82.79,553.51,6.68
494,126,79035,MURTOA,-36.621,142.474,144.7,192.26,21.41,7.17,31.66,37.67,26.12,35.21,8.26,95.8,134.72,117.16,74.57,20.84,38.9,27.02,12.37,99.13,422.25,4.31
495,64,79038,POMONAL,-37.2,142.6,320,129.38,18.94,7.56,30.36,47.28,62.38,59.96,7.87,156.42,266.67,194.03,102.22,20.14,35.28,26.48,12.48,94.38,719.34,7.61
496,111,79039,REDBANK,-36.907,143.338,260,160.18,20.44,7.13,31.23,45.48,46.65,47.99,7.55,126.85,204.41,151.33,92.95,19.01,34.6,25.04,11.9,90.55,575.54,6.47
497,50,79041,SLATY,-36.55,143.3,231.6,195.47,21.10,7.8,30.42,37.22,39.28,38.15,7.57,101.77,152.64,122.79,80.54,18.4,35.28,24.38,12.82,90.88,457.74,5.11
498,50,79044,TELANGATUK,-37.1,142,189,130.07,19.90,10.92,25.48,38.52,51.12,47.28,10.88,126.47,191.58,156.84,93.71,28.6,49.24,35.26,17.44,130.54,568.6,4.39
499,116,79046,WARTOOK,-37.094,142.434,440,139.76,18.06,11.42,24.05,48.02,80.42,72.94,11.59,190.95,326.06,233.91,123.89,30.51,51.77,38.03,18.66,138.97,874.81,6.38
500,77,79047,WARTOOK,-37,142.35,167.6,146.9,19.50,6.64,33.36,40.53,42.83,48.53,6.95,132.68,204.66,154.97,89.62,18.23,31.62,23.51,9.99,83.35,581.93,7.14
501,30,79054,BROOKRET,-36.6,142.7,145,196.55,21.02,5.4,42.03,42.33,25.62,33.64,5.9,92.37,138.97,105.56,70.04,14.63,28.23,19.67,8.37,70.9,406.94,5.94
502,36,79056,EMU,-36.7,143.4,215,176.58,20.66,8.67,30.81,45.36,43.31,43.08,7.88,121.55,186.37,135.54,73.65,19.81,37.53,25.22,11.94,94.5,517.11,5.42
503,30,79059,GOWAR,-36.6,143.4,180,186.31,21.11,6.4,35.5,41.53,32.71,37.22,6.26,108.24,153.23,118.19,68.49,15.43,30.27,20.77,8.77,75.24,448.15,5.92
504,42,79069,WALLALOO,-36.7,142.9,165,189.11,20.74,6.76,36.76,35.51,33.6,37.34,6.92,109.94,156.15,119.61,61.15,17.36,33.55,22.71,9.38,83,446.85,5.5
505,40,79078,TELANGATUK,-37.061,141.988,175,134.34,20.40,8.15,24.17,36.55,37.81,41.78,9.26,108.42,170.51,147.76,73.78,22.73,42.7,30.98,14.75,111.16,500.47,4.5
506,28,79080,STAWELL,-37.072,142.791,203,146.74,19.91,8.89,23.86,41.02,42.02,48.01,9.63,130.73,194.61,157.69,94.01,23.57,45.75,31.25,15.11,115.68,577.04,4.96
507,50,79082,HORSHAM,-36.701,142.201,140,176.23,21.37,6.34,29.8,33.62,25.18,34.43,7.71,90.7,132.65,116.88,72.13,19.02,36.12,25.22,12.12,92.48,412.36,4.45
508,28,79089,PARADISE,-36.83,143.106,256,181.65,20.50,7.32,26.61,43.88,40.86,47.21,7.97,124.67,189.75,159.15,93.04,19.61,37.46,26.64,12.18,95.89,566.61,5.93
509,90,80003,CALIVIL,-36.267,144.083,104.9,190.26,21.86,4.01,43.74,39.79,37.48,31.19,4.26,90.37,110.19,100.49,73.9,11,19.13,13.81,7.21,51.15,374.95,7.59
510,121,80004,CANARY,-35.974,143.852,86,228,22.60,4.83,40.2,38.25,28.69,30,5.25,85.05,106.72,97.26,71.08,13.4,24.07,16.84,8.71,63.02,360.11,5.79
511,91,80006,CHARLTON,-36.3,143.4,116.7,215.6,21.51,6.37,33.11,40.73,30,35.58,7.19,102.19,137.38,109.75,77.85,18.27,32.99,23.26,11.78,86.3,427.17,4.99
512,121,80009,ST,-36.478,143.353,205,200.32,21.53,6.7,32.91,38.91,29.38,36.11,7.07,102.29,137.18,115.44,78.23,17.74,32.86,23.15,11.03,84.78,433.14,5.09
513,69,80010,CORNELIA,-36.25,144.8,105,177.11,21.50,5.57,40.64,37.7,33.4,33.25,5.82,97.47,115.74,105.19,80.5,15.16,27,18.62,9.12,69.9,398.9,5.91
514,79,80012,DINGEE,-36.367,144.233,105.5,175.47,21.62,4.51,39.61,38.51,35.55,32.92,4.91,93.75,119.27,104.06,77.33,12.92,21.87,15.6,8.39,58.78,394.41,6.72
515,113,80015,ECHUCA,-36.165,144.764,96,186.77,22.02,6.44,32.73,39.65,33.98,36.13,7.13,107.54,128.37,114.78,83.06,18.49,32.12,23.03,11.95,85.59,433.75,5.08
516,57,80018,GLENLOTH,-36.1,143.4,115.8,235.98,22.00,5.46,41.47,39.48,34.93,31.5,5.81,92.83,117.1,103.06,64.93,15.05,27.21,18.97,8.56,69.79,377.92,5.45
517,128,80023,KERANG,-35.724,143.92,77.7,252.04,22.79,5.23,36.24,37.99,27.47,31.05,5.98,88.26,108.31,102.09,73.56,15.19,26.75,19.48,10.35,71.77,372.22,5.42
518,82,80028,KYABRAM,-36.317,145.05,105.8,169.73,21.39,5.52,36.06,41.42,37.25,37.26,6.41,107.67,138.46,116.04,85.25,16.81,28.9,20.37,10.85,76.93,447.42,6.04
519,127,80029,LAKE,-36.151,143.518,110,226.85,22.29,4.8,41.1,36.7,28.68,31.09,5.27,90.76,113.14,102.2,66.79,13.17,24.38,17.15,8.52,63.22,372.89,5.93
520,55,80030,LEITCHVILLE,-35.9,144.3,91.4,222.59,22.17,4.18,39.11,38.6,28.68,30.92,5.07,90.28,114.3,94.04,72.29,13.31,23.11,15.89,8.49,60.8,370.91,6.13
521,58,80033,MACORNA,-35.9,144,82.9,231.18,22.34,5.03,38.97,37.58,29.13,29.4,5.49,82.65,103.78,95.86,69.74,14.05,25.17,17.69,8.97,65.88,352.03,5.38
522,122,80039,YARRAWALLA,-36.186,144.057,100,199.49,22.20,4.45,41.22,37.08,31.66,30.47,4.68,86.28,108.1,99.58,72.39,12.14,21.26,15.05,7.68,56.13,366.35,6.57
523,88,80044,PATHO,-35.998,144.424,90,209.49,22.12,5.26,35.59,36.84,31.5,31.31,5.78,89.86,106.39,100.38,78.57,14.98,25.03,18.9,10.39,69.3,375.2,5.47
524,86,80053,TANDARRA,-36.43,144.25,110,168.36,21.59,5.53,36.85,36.84,33.44,33.96,5.8,93.85,119.89,111.9,81.38,14.94,25.59,18.69,10.37,69.59,407.02,5.94
525,39,80057,TONGALA,-36.2,145,101,182.45,21.50,6,33.03,39.74,40.2,35.81,6.68,103.5,126.13,112.99,85.49,17.05,30.15,21.28,11.54,80.02,428.11,5.42
526,56,80059,STRATHMERTON,-35.917,145.4,106.7,217.87,22.32,5.21,38.05,42.46,33.01,37.13,5.69,108.11,122.17,119.04,96.15,15.14,25.21,17.96,9.98,68.29,445.47,6.51
527,28,80064,YALCA,-36,145.3,105,207.21,22.01,6.18,32.36,39.94,32.46,34.01,6.91,94.87,114.27,105.05,93.11,17.46,31.18,22.04,12,82.68,407.3,4.89
528,46,80068,BAMAWM,-36.25,144.6,137.2,179.13,21.53,5.61,37.67,37.68,30.29,32.78,5.74,91.82,123.54,101.97,76.29,14.11,27.04,18.13,9.56,68.84,393.62,5.75
529,28,80070,COBRAM,-35.9,145.7,118,226.36,22.54,4.96,40.54,43.01,36.82,36.53,5.28,101.64,140.13,108.43,88.23,13.14,24,16.68,9.57,63.39,438.43,7.03
530,39,80072,KAARIMBA,-36.1,145.3,105,196.26,21.96,4.97,38.31,43.38,37.35,38.56,5.61,114.23,142.2,124.03,82.73,13.9,24.69,18.8,10,67.39,463.19,7
531,39,80073,KERANG,-35.8,143.933,82,243.61,22.53,4.46,41.54,32.05,26.25,28.32,4.68,89.42,102.43,88.14,60.43,12.2,21.61,14.67,7.59,56.07,340.42,6.05
532,34,80076,MITIAMO,-36.217,144.233,98,191.45,21.94,4.85,46.47,39.69,27.61,30.52,4.79,91.67,118.4,94.47,63.18,12.68,23.06,14.82,7.03,57.59,367.72,6.78
533,45,80091,KYABRAM,-36.335,145.064,105,167.79,21.47,6.73,32.27,38.83,32.96,37.06,7.67,105.11,127.29,121.79,89.64,18.8,34.53,25.13,13.44,91.9,443.83,4.79
534,41,80095,KOTTA,-36.223,144.537,101,183.02,21.92,6.41,32.73,38.18,31.34,34.86,6.54,95.8,120.22,114.24,87.35,16.81,29.42,20.81,11.37,78.41,417.61,5.29
535,36,80096,PYRAMID,-36.088,144.092,100,208.83,22.23,5.5,31.36,36.5,28.99,32.38,6.22,88.87,107.07,112.29,79.17,15.22,27.58,20.25,11.36,74.41,387.4,5.15
536,40,80098,PRAIRIE,-36.298,144.139,103,185.29,21.99,5.38,31.17,37.23,30.57,33.79,6.4,91.89,114.77,115.71,82.61,15.5,28.67,20.5,12.02,76.69,404.98,5.24
537,50,80110,GOULBURN-MURRAY,-35.736,143.93,75,250.46,22.73,5.16,35.06,36.13,23.24,30.17,5.94,82.02,101.53,104.72,73.12,14.94,26.32,19.38,10.64,71.28,361.39,5.08
538,36,80117,YALLOOK,-36.433,144.167,116,170.33,21.67,5.69,37.14,39.07,32.11,35.03,6.48,103.56,134.16,109.49,74.43,16.17,30.92,20.64,10.11,77.84,421.64,5.4
539,32,80125,ULUPNA,-35.888,145.388,105,220.84,22.61,5.47,32.59,39.75,32.84,34.65,6.1,96.09,119.61,114.48,83.67,14.25,26.59,20.38,11.91,73.13,413.85,5.67
540,29,80126,KERANG,-35.717,143.911,77.2,252.93,22.95,5.62,34.52,37.18,26.22,29.72,6.5,74.61,105.7,97.82,77.34,14.55,29.9,21.21,12.28,77.94,355.47,4.52
541,52,81001,LONGLEA,-36.8,144.4,189,125.12,20.65,5.86,35.38,45.64,44.11,42.69,6.35,117.75,168.4,130.54,96.71,15.81,28.81,20.96,10.73,76.31,513.4,6.7
542,107,81006,BURKES,-36.672,143.552,198,172.43,21.10,6.33,32.57,37.47,33.85,37.33,6.89,102.04,143.95,118.93,83.25,17.51,31.71,22.11,11.35,82.68,448.17,5.45
543,105,81007,CANIAMBO,-36.457,145.657,130,167.13,21.69,5.46,33.63,44.24,40.52,43.22,6.5,123.74,160.09,134.53,100.43,16.72,29.36,20.91,10.99,77.98,518.79,6.62
544,109,81008,COLBINABBIN,-36.542,144.775,144,144.95,20.77,7.88,30.16,43.49,38.98,42.62,8.32,117.78,155.76,137.13,100.29,20.42,39.17,26.51,13.66,99.76,510.96,5.15
545,53,81009,COOMA,-36.4,145.1,108.5,160.87,21.17,5.24,41.43,41.7,45.61,36.32,5.23,101.56,135.29,114.68,84.49,13.53,24.11,16.32,8.83,62.79,436.02,6.94
546,61,81012,DEVENISH,-36.3,145.9,143.9,191.95,21.95,6.54,37.36,43.81,42.86,43.04,6.63,121.37,163.52,131.04,100.15,17.05,30.79,20.87,10.79,79.5,516.08,6.54
547,37,81015,EAGLEHAWK,-36.733,144.233,219,137.09,20.15,6.95,28.05,41,48.09,44.94,7.89,125.03,171.67,144.54,97.7,19.68,35.7,25.62,13.73,94.73,538.94,5.7
548,111,81026,LAANECOORIE,-36.834,143.892,170,144.22,21.21,6.47,31.62,37.76,34.73,38.04,7.46,104.48,144.53,121.81,85.54,18.41,34.19,24.4,12.52,89.52,456.36,5.08
549,78,81029,BOXWOOD,-36.3,145.8,140,188.08,21.91,6.27,36.08,43.06,39.53,43.31,6.14,125.08,165.62,132.86,96.41,15.8,28.44,19.19,10.28,73.71,519.97,7.07
550,67,81049,TATURA,-36.438,145.267,114,158.84,21.18,7.03,28.34,39.42,32.29,40.15,8.06,112.49,139.79,130.33,98.5,20.46,35.84,26.42,13.91,96.63,481.11,4.95
551,29,81081,BUNG,-37.1,143.6,281,129.35,19.89,5.24,36.9,48.05,46.23,41.65,5.39,121.1,166.76,129.38,83.14,14.62,24.28,17.03,8.93,64.86,500.38,9.44
552,43,81083,EPPALOCK,-36.847,144.527,201,115.84,20.67,7.09,26.23,39.35,35.86,43.01,8.26,117.18,158.65,137.49,103.72,20.91,37.74,25.93,14.63,99.21,517.04,5.14
553,33,81084,LEMNOS,-36.361,145.459,113.4,171.18,21.42,8.21,29.7,41.46,39.98,47.02,9.2,136.9,167.2,145.14,115.88,23.67,42.61,29,15.27,110.55,565.12,5.1
554,40,81090,MOLIAGUL,-36.745,143.679,256,160.37,20.97,5.43,30.65,43.76,46.99,44.12,6.18,118.28,166.45,146.36,96.82,15.95,26.75,20.3,11.02,74.02,527.91,7.12
555,40,81092,EASTVILLE,-36.864,143.978,183,138.66,20.97,6.35,25.15,42.95,25.88,40.13,7.76,108.07,138.62,133.04,101.54,19.55,34.38,24.83,14.35,93.11,481.27,5.14
556,39,81095,MURCHISON,-36.59,145.312,119,143.15,21.24,5.85,30.82,40.16,35.74,44.06,6.54,115.49,159.9,144.37,107.73,16.67,29,20.82,11.97,78.46,527.49,6.84
557,34,81115,WANALTA,-36.628,144.873,115,134.87,21.24,6.62,29.09,45.34,39.87,40.81,7.47,100.27,150.6,138.17,101.43,17.88,33.76,24.32,13.65,89.61,490.47,5.41
558,30,81116,CHESNEY,-36.456,146.024,168,181.9,21.76,7.17,25.3,41.53,42.48,46.97,8.21,123.07,185.54,151.83,103.22,19.53,38.53,26.17,14.27,98.5,563.66,5.64
559,25,81118,KNOWSLEY,-36.809,144.62,213,117.8,20.76,5.92,30.24,44.66,36.97,42.95,6.55,99.02,163.42,137,114.34,15.4,29.28,21,12.68,78.36,513.78,6.55
560,123,82002,BENALLA,-36.548,145.97,169.5,170.61,21.83,7.7,29.32,48.64,47.54,55.97,8.15,156.91,217.72,177.4,119.57,20.46,36.95,26.37,13.98,97.76,671.6,6.93
561,63,82005,BETHANGA,-36.1,147.1,528,200.49,19.07,7.57,26.97,48.82,57.06,63.4,8.3,175.51,244.46,196.51,143.86,21.49,35.79,26.38,15.86,99.52,760.34,7.62
562,98,82006,BOORHAMAN,-36.222,146.283,142,216.15,22.09,6.76,32.26,44.99,42.68,48.78,7.2,131.22,182.46,154.82,116.86,18.4,32.79,22.75,12.49,86.43,585.36,6.74
563,98,82009,CARBOOR,-36.609,146.537,238,169.95,20.71,8.1,26.92,54.08,77,76.19,8.32,200.93,322.41,238.77,152.49,21.08,37.01,26.9,14.87,99.86,914.6,9.24
